ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan,TV,Summer,2020,"Totsuka, Saika",https://myanimelist.net/character/67071/Saika_Totsuka,67071,Supporting,1536
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,https://myanimelist.net/anime/40453/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II_OVA,OVA,,2020,"Deimne, Finne",https://myanimelist.net/character/116205/Finne_Deimne,116205,Supporting,35
38408,Boku no Hero Academia 4th Season,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season,TV,Fall,2019,"Mineta, Minoru",https://myanimelist.net/character/119521/Minoru_Mineta,119521,Supporting,496
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II,TV,Summer,2019,"Deimne, Finne",https://myanimelist.net/character/116205/Finne_Deimne,116205,Supporting,35
37348,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,https://myanimelist.net/anime/37348/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_Movie__Orion_no_Ya,Movie,,2019,"Deimne, Finne",https://myanimelist.net/character/116205/Finne_Deimne,116205,Supporting,35
36896,Boku no Hero Academia the Movie 1: Futari no Hero,https://myanimelist.net/anime/36896/Boku_no_Hero_Academia_the_Movie_1__Futari_no_Hero,Movie,,2018,"Mineta, Minoru",https://myanimelist.net/character/119521/Minoru_Mineta,119521,Supporting,496
36456,Boku no Hero Academia 3rd Season,https://myanimelist.net/anime/36456/Boku_no_Hero_Academia_3rd_Season,TV,Spring,2018,"Mineta, Minoru",https://myanimelist.net/character/119521/Minoru_Mineta,119521,Supporting,496
34104,Knight's & Magic,https://myanimelist.net/anime/34104/Knights___Magic,TV,Summer,2017,"Echevarria, Ernesti",https://myanimelist.net/character/121185/Ernesti_Echevarria,121185,Main,316
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,https://myanimelist.net/anime/32887/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_Gaiden__Sword_Oratoria,TV,Spring,2017,"Deimne, Finne",https://myanimelist.net/character/116205/Finne_Deimne,116205,Supporting,35
33486,Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,TV,Spring,2017,"Mineta, Minoru",https://myanimelist.net/character/119521/Minoru_Mineta,119521,Supporting,496
