ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
54029,Wu Liuqi: Anying Suming,https://myanimelist.net/anime/54029/Wu_Liuqi__Anying_Suming,ONA,,2023,"Zan, Ouyang",https://myanimelist.net/character/224391/Ouyang_Zan,224391,Supporting,3
45556,Wu Liuqi: Xuanwu Guo Pian,https://myanimelist.net/anime/45556/Wu_Liuqi__Xuanwu_Guo_Pian,ONA,,2021,"Zan, Ouyang",https://myanimelist.net/character/224391/Ouyang_Zan,224391,Supporting,3
34566,Boruto: Naruto Next Generations,https://myanimelist.net/anime/34566/Boruto__Naruto_Next_Generations,TV,Spring,2017,"Might, Guy",https://myanimelist.net/character/307/Guy_Might,307,Supporting,2256
16870,The Last: Naruto the Movie,https://myanimelist.net/anime/16870/The_Last__Naruto_the_Movie,Movie,,2014,"Might, Guy",https://myanimelist.net/character/307/Guy_Might,307,Supporting,2256
13667,Naruto: Shippuuden Movie 6 - Road to Ninja,https://myanimelist.net/anime/13667/Naruto__Shippuuden_Movie_6_-_Road_to_Ninja,Movie,,2012,"Might, Guy",https://myanimelist.net/character/307/Guy_Might,307,Supporting,2256
2472,Naruto: Shippuuden Movie 1,https://myanimelist.net/anime/2472/Naruto__Shippuuden_Movie_1,Movie,,2007,"Might, Guy",https://myanimelist.net/character/307/Guy_Might,307,Supporting,2256
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,"Might, Guy",https://myanimelist.net/character/307/Guy_Might,307,Supporting,2256
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Ship's Captain,https://myanimelist.net/character/50461/Ship_039_s_Captain,50461,Supporting,0
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,"Might, Dai",https://myanimelist.net/character/103209/Dai_Might,103209,Supporting,55
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Monga,https://myanimelist.net/character/94807/Monga,94807,Supporting,0
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,"Uchiha, Kagami",https://myanimelist.net/character/63189/Kagami_Uchiha,63189,Supporting,13
1735,Naruto: Shippuuden,https://myanimelist.net/anime/1735/Naruto__Shippuuden,TV,Winter,2007,Ittan,https://myanimelist.net/character/62637/Ittan,62637,Supporting,0
859,Digimon Savers,https://myanimelist.net/anime/859/Digimon_Savers,TV,Spring,2006,Gaomon,https://myanimelist.net/character/4951/Gaomon,4951,Main,20
