ID,Title,Link,Type,Season,Year,Character,CharacterLink,CharacterID,CharacterRole,CharacterFavorites
58502,Zenshuu.,https://myanimelist.net/anime/58502/Zenshuu,TV,Winter,2025,Sukeban Magical Girl,https://myanimelist.net/character/262000/Sukeban_Magical_Girl,262000,Supporting,0
54398,Biohazard: Death Island,https://myanimelist.net/anime/54398/Biohazard__Death_Island,Movie,,2023,"Valentine, Jill",https://myanimelist.net/character/12664/Jill_Valentine,12664,Main,56
51632,Isekai wa Smartphone to Tomo ni. 2,https://myanimelist.net/anime/51632/Isekai_wa_Smartphone_to_Tomo_ni_2,TV,Spring,2023,Rene,https://myanimelist.net/character/154089/Rene,154089,Supporting,2
50709,Lycoris Recoil,https://myanimelist.net/anime/50709/Lycoris_Recoil,TV,Summer,2022,"Otome, Sakura",https://myanimelist.net/character/214030/Sakura_Otome,214030,Supporting,6
49893,Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu,https://myanimelist.net/anime/49893/Kobayashi-san_Chi_no_Maid_Dragon_S__Nippon_no_Omotenashi_-_Attend_wa_Dragon_desu,Special,,2022,Tooru,https://myanimelist.net/character/136727/Tooru,136727,Supporting,5942
48239,Leadale no Daichi nite,https://myanimelist.net/anime/48239/Leadale_no_Daichi_nite,TV,Winter,2022,Roxine,https://myanimelist.net/character/207203/Roxine,207203,Supporting,2
39247,Kobayashi-san Chi no Maid Dragon S,https://myanimelist.net/anime/39247/Kobayashi-san_Chi_no_Maid_Dragon_S,TV,Summer,2021,Tooru,https://myanimelist.net/character/136727/Tooru,136727,Main,5942
48580,Vanitas no Karte,https://myanimelist.net/anime/48580/Vanitas_no_Karte,TV,Summer,2021,Catherine,https://myanimelist.net/character/143120/Catherine,143120,Supporting,1
48580,Vanitas no Karte,https://myanimelist.net/anime/48580/Vanitas_no_Karte,TV,Summer,2021,"de Sade, Veronica",https://myanimelist.net/character/142960/Veronica_de_Sade,142960,Supporting,9
40351,Pokemon (2019),https://myanimelist.net/anime/40351/Pokemon_2019,TV,Fall,2019,Serena,https://myanimelist.net/character/91975/Serena,91975,Supporting,777
38740,Bai She: Yuan Qi,https://myanimelist.net/anime/38740/Bai_She__Yuan_Qi,Movie,,2019,Xiao Qing,https://myanimelist.net/character/180399/Xiao_Qing,180399,Main,4
34539,Saint Seiya: Saintia Shou,https://myanimelist.net/anime/34539/Saint_Seiya__Saintia_Shou,ONA,,2018,"Equuleus, Shouko",https://myanimelist.net/character/90887/Shouko_Equuleus,90887,Main,7
