,MAL_id,Title,Score,Type
0,235,Meitantei_Conan,,TV
1,10213,Maji_de_Watashi_ni_Koi_Shinasai,8.0,TV
2,5909,Seitokai_no_Ichizon,8.0,TV
3,28999,Charlotte,8.0,TV
4,16592,Danganronpa__Kibou_no_Gakuen_to_Zetsubou_no_Koukousei_The_Animation,9.0,TV
5,74,Gakuen_Alice,9.0,TV
6,10719,Boku_wa_Tomodachi_ga_Sukunai,8.0,TV
7,14967,Boku_wa_Tomodachi_ga_Sukunai_Next,9.0,TV
8,12189,Hyouka,10.0,TV
9,249,InuYasha,10.0,TV
10,3470,Special_A,10.0,TV
11,21405,Bokura_wa_Minna_Kawai-sou,10.0,TV
12,22199,Akame_ga_Kill,9.0,TV
13,8675,Seitokai_Yakuindomo,8.0,TV
14,210,Ranma_%C2%BD,8.0,TV
15,10620,Mirai_Nikki_TV,,TV
16,9379,Denpa_Onna_to_Seishun_Otoko,9.0,TV
17,23133,M3__Sono_Kuroki_Hagane,9.0,TV
18,22319,Tokyo_Ghoul,7.0,TV
