,MAL_id,Title,Score,Type
0,36456,Boku_no_Hero_Academia_3rd_Season,6.0,TV
1,9989,Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,8.0,TV
2,16498,Shingeki_no_Kyojin,10.0,TV
3,25777,Shingeki_no_Kyojin_Season_2,10.0,TV
4,269,Bleach,9.0,TV
5,2167,Clannad,10.0,TV
6,4181,Clannad__After_Story,10.0,TV
7,1575,Code_Geass__Hangyaku_no_Lelouch,10.0,TV
8,2904,Code_Geass__Hangyaku_no_Lelouch_R2,10.0,TV
9,1535,Death_Note,9.0,TV
10,28223,Death_Parade,8.0,TV
11,31339,Drifters,,TV
12,5114,Fullmetal_Alchemist__Brotherhood,9.0,TV
13,43,Koukaku_Kidoutai,7.0,Movie
14,777,Hellsing_Ultimate,8.0,OVA
15,11061,Hunter_x_Hunter_2011,10.0,TV
16,40748,Jujutsu_Kaisen,8.0,TV
17,12531,Sakamichi_no_Apollon,7.0,TV
18,18679,Kill_la_Kill,7.0,TV
19,34599,Made_in_Abyss,9.0,TV
20,36563,Megalo_Box,8.0,TV
21,31964,Boku_no_Hero_Academia,8.0,TV
22,33486,Boku_no_Hero_Academia_2nd_Season,8.0,TV
23,35262,Boku_no_Hero_Academia__Hero_Note,7.0,TV Special
24,33929,Boku_no_Hero_Academia__Sukue_Kyuujo_Kunren,7.0,OVA
25,35459,Boku_no_Hero_Academia__Training_of_the_Dead,6.0,OVA
26,20,Naruto,8.0,TV
27,1735,Naruto__Shippuuden,9.0,TV
28,30276,One_Punch_Man,10.0,TV
29,34134,One_Punch_Man_2nd_Season,8.0,TV
30,22535,Kiseijuu__Sei_no_Kakuritsu,9.0,TV
31,30240,Prison_School,8.0,TV
32,13601,Psycho-Pass,9.0,TV
33,32615,Youjo_Senki,9.0,TV
34,28927,Owari_no_Seraph__Nagoya_Kessen-hen,8.0,TV
35,26243,Owari_no_Seraph,8.0,TV
36,10620,Mirai_Nikki_TV,8.0,TV
37,22319,Tokyo_Ghoul,9.0,TV
38,27899,Tokyo_Ghoul_%E2%88%9AA,9.0,TV
39,4224,Toradora,10.0,TV
40,6,Trigun,7.0,TV
41,23273,Shigatsu_wa_Kimi_no_Uso,10.0,TV
42,32281,Kimi_no_Na_wa,7.0,Movie
43,38000,Kimetsu_no_Yaiba,,TV
44,6702,Fairy_Tail,,TV
45,40046,Id_Invaded,,TV
46,48561,Jujutsu_Kaisen_0_Movie,,Movie
47,48483,Mieruko-chan,,TV
48,21,One_Piece,,TV
